student_staff_ratio,num_students,total_score,income
8,2218,47.5,30
22.5,14708,47.4,45.1
15,30144,47.4,39.2
21.4,50657,47.2,47.5
8.5,15408,47,71.9
11.6,27526,46.7,50
13.4,14541,46.7,33.7
12.6,5495,46.6,36.8
18.3,10901,46.6,37.3
30.3,12346,46.6,100
18.9,29787,46.6,74.5
20.7,20851,46.4,63.3
13.6,18815,46.3,37.7
12,6631,46.2,81.8
20.5,34651,46.2,29.3
42,28856,46.1,57.8
5.5,6753,46.1,50
15.9,19262,46,98.1
14.7,14992,46,29.5
19,25668,45.9,39.4
26.1,23819,45.9,50
14.8,27756,45.8,29.1
10.9,21908,45.8,32.3
4.6,7326,45.7,38.8
15,6671,45.6,65.6
70.4,32474,45.6,50
17.4,29991,45.5,28.2
15.1,18539,45.4,34.5
5.7,15286,45.3,50
26.3,36733,45.3,41.6
15.8,12938,45.2,45.1
22.8,16306,45.2,44.4
10.7,17612,45,33.3
9.2,24313,45,31.1
5.6,1283,44.9,99.1
12,20541,44.8,30
14.8,12050,44.8,34.4
15.3,11628,44.7,46.5
13.7,4408,44.6,44.7
15.2,20174,44.5,36.9
25,11506,44.3,45.9
17.2,9454,50,29
13.1,23347,50,34.4
7.1,10015,50,55.7
12.2,32175,50,46.7
9.3,31861,50,39.8
16,34550,50,68.2
22.2,25779,50,57
7.9,15529,50,80.6
13.4,2958,50,30.6
20.3,24365,50,98.6
19.4,13855,50,36.2
9.9,9303,50,31
11.2,9187,50,51.1
30.1,20771,50,54.1
11.1,11623,50,34.7
16.5,28341,50,45.4
16.9,18209,50,40.2
17.8,46208,50,32
43.2,16841,50,42.8
38.9,28327,50,32.3
21.5,17581,50,30.1
11.8,7867,50,31.9
12.3,30538,50,39.1
7.7,30822,50,72.2
23.9,16691,50,28.4
22.1,20488,50,63.5
28.3,26640,50,41.8
53.6,20300,50,88
22.4,7576,50,55.5
8.4,11381,50,50
12.2,47491,50,30.3
15.7,36108,50,36.5
53.9,36146,50,47.5
23.8,24444,50,39.8
59.1,10930,50,59.5
72.5,33370,50,35.3
46.1,39838,50,39.5
20.3,18600,50,37.6
14.6,81402,50,40.1
18.6,23321,50,99
25.8,18135,50,32.9
66,67552,50,41.9
24.2,30726,50,38.5
20.7,27387,50,52.3
38.4,26576,50,30.4
52,26419,50,66.6
17.6,12613,50,34.1
14.4,15064,50,67.1
25.9,22064,50,40.3
2.9,7426,50,33.7
18.4,36731,50,33.4
13.3,29743,50,51.8
16.6,12646,50,99.5
13.5,10221,50,43.4
13.9,17381,50,46.2
17.9,17940,50,48.5
18.7,10977,50,98.3
37.4,35487,50,38.4
43.4,43280,50,50
19.8,12695,50,32.7
25.9,13960,50,78.5
16.4,21789,50,34.2
21.9,23508,50,74.2
40.6,22958,50,63.3
16.3,29336,50,31.5
16.9,15773,50,30.6
17.1,9020,50,44.7
29.8,25036,50,50
11.6,8605,50,77.3
19,26769,50,38.5
8.3,7086,50,50
14.6,4488,50,41.1
20,27930,50,37.9
25.9,24121,50,28.9
22.2,30025,50,75.9
35.8,33391,50,65.3
3.3,2872,50,46.6
22.3,15805,50,50
8.2,3837,50,52.5
18.8,12830,50,35
22.9,85532,50,33.5
46.9,10416,50,30.6
19.9,33119,50,30.7
24.3,58618,50,39
15.2,12470,50,34.5
12.7,22210,50,70.9
25.4,16489,50,59.6
21.1,17142,50,46.4
18.6,30850,50,42
39.4,48007,50,36.2
15.9,17422,50,39.8
24.2,16099,50,39.4
19.2,9252,50,32.8
13,28296,50,33.4
19.5,9567,50,30.7
35.5,12520,50,50
67.8,21428,50,35.8
16.1,35308,50,33.3
30.4,32713,50,31.1
10.8,20713,50,32.5
17.8,8773,50,44.3
8.2,18162,50,44.2
11,10441,50,30.2
15.1,21379,50,38.7
15.7,8397,50,30.4
23.7,17791,50,62.2
6.7,18925,50,75
11.3,6300,50,39.7
7.7,17866,50,50
32.8,16606,50,49.9
14.4,21234,50,100
19.6,9336,50,45
26.8,14067,50,45.7
16.8,22578,50,31.6
32.3,120986,50,36.3
12.8,38191,50,79.2
15.3,27095,50,49
18.5,15387,50,50
23,21849,50,95.9
11.9,16667,50,30.5
16.5,12187,50,52.3
13,25742,50,31.7
26.9,14650,50,35
17.3,10798,50,33.4
19.4,19665,50,30.3
43.7,40325,50,36.9
25.9,20951,50,60.7
27.8,28576,50,52.8
14.1,29885,50,31.1
18.3,62577,50,32
18,47247,50,41.7
58.4,19959,50,51.2
26.2,18971,50,83.2
9.5,10045,50,45.6
44.1,24519,50,36.4
12.6,15930,50,35.3
17,10159,50,46.3
14.1,49292,50,28.3
18.3,24550,50,55.6
10.7,23065,50,50
14.9,50260,50,58.7
15.9,47508,50,94.5
25.4,5570,50,35.5
13,51438,50,29
15.4,7983,50,60.8
17,26622,50,28.8
17.3,8371,50,50
12.2,6167,50,42.4
17.5,9928,50,50
18.7,8061,50,64.8
29.1,19646,50,41.9
8.4,35889,50,39.7
62.7,22401,50,42.7
19.8,18513,50,28.8
15.9,13951,50,42.6
9.8,10915,50,83.9
17.4,7446,50,47.9
28,7653,50,33
13.6,33172,50,39.8
46.3,38675,50,45.2
31.7,27420,50,29.2
16.6,51351,50,43.4
36.5,20314,50,46.7
13.3,33268,50,50
12.2,10398,50,39.2
65.1,51560,50,34.9
46.6,36051,50,41.7
30.2,18882,50,38.5
17.2,54290,50,34.2
26.8,20584,50,29.5
28.3,21643,50,47.8
15.2,9703,50,50
18.1,13908,50,32.6
18.8,19090,50,37.4
10.6,11259,50,86.2
18.8,32720,50,36.7
19.1,20161,50,29.1
12.8,12533,50,30.6
15.9,7828,50,30.3
16.6,12063,50,40.3
13,10269,50,30.3
23.8,18340,50,36.9
15.4,58413,50,31.7
19,22793,50,38.2
6.9,2243,94.3,89.1
11.6,19919,93.2,72.9
7.8,15596,92.9,63.1
11.8,18812,92,51.1
9,11074,91.9,95.7
8.4,7929,90.9,82.7
16.4,36186,89.5,44.8
11.7,15060,87.5,72.7
4.4,11751,87.5,42
6.9,14221,87.1,36.8
10.3,38206,85.5,50
14.7,18178,84.6,73.2
3.6,15128,83,100
6.5,20376,81,43
9,41786,80.9,55.7
4.8,15172,79.9,100
10.2,21424,79.4,33.7
13.8,18334,79.2,77
10.7,26607,78.7,46.2
13.1,11885,74.3,53
15.5,31592,73.3,53.4
11.8,44020,73.2,44.7
20.1,19967,72.8,72.3
17.4,49427,72.3,58.1
15.5,35691,71.9,100
18.7,42727,71.9,51.7
10.8,39655,71.9,53.3
17.6,50152,71.8,40.1
23.7,40128,71.2,61.2
10.5,9666,70.9,61.9
14.1,25774,70.4,41.2
27.3,22020,70,87.1
6.8,42056,69.9,30.2
13.7,31326,69.6,38.6
11.4,21394,69.4,39
6.5,27233,68.6,54.2
17.6,19835,67.5,56
11.5,7774,66.8,65.5
19.2,14604,66.5,38.9
18,46825,65.9,50
7.3,26518,65.9,40.5
13.7,39763,65.1,99.7
10,9027,64.5,100
15.3,34938,64.5,39.4
41.9,42503,63.7,99.9
13.9,35364,63.7,55.4
8.6,24789,63.6,30.3
12.4,44501,62.9,60.4
20.2,41868,62.7,67.3
16.2,25028,62.2,100
4.8,2429,62.2,76.8
16.5,462,61.9,40.1
17.1,21222,61.3,47.3
32.7,34718,61.2,66.2
10.1,3055,61.1,100
25.6,25581,61,32.8
13.4,51462,60.7,46.8
9,6333,59.8,34.6
24.5,28881,59.6,41.6
19.4,15920,59.2,100
18.9,20580,59.1,54.4
17,9248,59,100
14,17906,58.9,42.1
17.3,12551,58.4,97.7
12.9,36534,58.4,34.4
14.4,24570,58.2,56.7
7.9,2400,58.1,39.4
15.4,30779,58,84.1
39.3,33062,57.6,33.5
15.7,44750,57.3,31.7
15.7,15489,56.9,34.8
40.5,50882,56.9,73.4
22.2,25779,56.6,55.2
12.7,36429,56.5,99.6
13.8,11829,56.5,50
10,10410,56.4,58.7
16.1,26614,56.4,40
34.1,32166,56.2,85.3
13,56959,56.1,52.8
5.8,26485,56.1,38.5
4.5,12338,55.5,42.3
19.3,23823,55.3,85
16,22616,55.3,39.9
3.6,12161,55.2,59.4
16.1,29325,55.1,50
23.7,31715,54.6,32.4
31.5,35565,54.6,49
18.2,25266,54.6,39.6
18.9,15626,54.3,96.1
18.1,39256,54,50
8.7,27862,53.9,33.4
15.1,23505,53.9,31.5
16.6,18529,53.9,35.6
6.5,26583,53.9,40.1
14,14260,53.8,37.1
15,15668,53.8,65.1
22.7,17404,53.7,33.8
25.9,38309,53.7,47.8
12.7,8338,53.6,39.8
17.4,12001,53.6,31.2
20.3,38264,53.4,91.8
38.9,28327,53.4,54.7
6.4,9259,53.2,50
25.6,24556,53.1,88.9
15.9,8747,53,32.8
5,9990,52.7,98.6
4.5,9390,52.7,36.4
15.5,23311,52.7,43.8
21.6,36299,52.6,51.8
12.1,20040,52.6,88
17.4,13216,52.5,46.5
14.6,12062,52.5,100
18.7,50095,52.5,50
10.2,17916,52.4,42.8
10.2,23845,52.1,49.8
14.9,11512,52,34.1
22.5,14708,51.9,47.4
8.4,31331,51.9,33.2
13.5,20925,51.9,38.9
37.4,35487,51.6,99.5
16.3,23280,51.4,60
18,15521,51.2,30.6
25,11506,51.1,47.7
13,17713,51,42.8
18.2,5287,50.9,79.4
21.4,50657,50.9,49.6
7.3,9586,50.9,69.4
16,8176,50.5,99.9
17.3,37032,50.5,35.2
14.7,27703,50.4,39.4
12.6,5495,50.3,43.9
20.3,24365,50.2,98.5
16.4,25295,50.2,36
13.6,62468,50.1,50
22,20626,50.1,39.5
6.6,6178,50,49.1
13.6,23895,49.9,59.8
18.8,17755,49.7,35.8
11.9,31891,49.3,43.8
27.6,37917,49.2,69.8
7.8,23144,49.1,73.6
13.6,18815,49.1,40
20.7,20851,49.1,63.3
4.1,27545,49,44.4
8,2218,49,29.3
16.9,25674,48.6,58.1
31.2,26467,48.3,81.4
30.1,20771,48.2,65.3
16,34550,48.1,51.1
24.6,25294,48.1,82.7
18.3,10901,48.1,35.9
5,17200,48.1,76.8
5.7,15286,48,50
30.3,12346,47.9,100
15,30144,47.8,39.6
42,28856,47.8,46.1
8.5,15408,47.7,80
21.5,17581,47.7,31.6
18.9,29787,47.5,74.2
11.6,27526,47.5,49.3
15.9,19660,47.3,40.6
15.8,12938,47.1,42.1
14.8,27756,47,29.1
15.9,19262,47,99.3
29.9,83236,46.9,32.6
15.9,2739,46.9,42.9
20.5,34651,46.9,29.4
15.1,18539,46.8,34
5.5,6753,46.7,50
10.9,21908,46.6,31.3
26.3,36733,46.6,45.9
19,25668,46.5,39.6
7.1,10015,46.3,49.8
12.2,32175,46.2,49.4
17.4,29991,46.2,54.4
70.4,32474,46.1,50
7.7,30822,46,78.5
13.4,2958,46,32.4
14.7,14992,45.9,29.2
13.4,14541,45.7,34.8
13.7,4408,45.6,53.7
12,20541,45.6,29.3
13.1,23347,50,34.8
9.3,31861,50,38.8
10.7,17612,50,31.5
25.9,22064,50,42.6
15.2,20174,50,35
19.4,13855,50,36.5
11.2,9187,50,56.7
12.2,47491,50,31
11.1,11623,50,34.2
15.3,11628,50,47.7
9.2,24313,50,40.7
16.9,18209,50,42
14.8,12050,50,34.9
17.8,46208,50,32
14.6,81402,50,40.1
22.8,16306,50,41.6
25.8,18135,50,33.3
12,6631,50,89.2
26.1,23819,50,50.7
4.6,7326,50,38.2
11.8,7867,50,30
12.3,30538,50,34.6
17.2,9454,50,28.7
17.6,12613,50,31.9
29.8,25036,50,30.7
14.4,15064,50,68.9
5.6,1283,50,99
7.9,15529,50,86.3
15,6671,50,49.9
28.3,26640,50,41.8
18.5,15387,50,50
9.9,9303,50,31
16.5,28341,50,41.5
23.8,24444,50,42
59.1,10930,50,52.5
72.5,33370,50,45
44.1,24519,50,40.1
20.7,27387,50,50.7
38.4,26576,50,30
52,26419,50,64.1
39.4,48007,50,34.1
24.2,16099,50,64.5
34,11718,50,28.1
2.9,7426,50,33.7
13.3,29743,50,51.7
13.5,10221,50,49.4
26.8,14067,50,43.1
22.1,20488,50,59
17.9,17940,50,43.7
53.6,20300,50,88.9
25.6,18590,50,46.3
25.9,13960,50,64
46.1,39838,50,38.2
21.9,23508,50,75.6
20.3,18600,50,31.9
40.6,22958,50,64.4
58.4,19959,50,38.4
16.9,15773,50,36.5
18.6,23321,50,94.8
43.2,16841,50,46
66,67552,50,40.8
24.2,30726,50,41.7
11.6,8605,50,75.8
19,26769,50,38.8
8.2,3318,50,37.9
23.9,3486,50,73.8
18.4,36731,50,33.6
16.6,12646,50,98.2
13.9,17381,50,45
23.9,16691,50,28.3
25.9,24121,50,28.8
35.8,33391,50,71.9
12.8,38191,50,88.4
23,21849,50,94.7
22.4,7576,50,55.1
3.3,2872,50,56.9
22.3,15805,50,45.9
22.9,85532,50,34.9
15.7,36108,50,35.6
53.9,36146,50,46.8
46.9,10416,50,48.2
19.9,33119,50,31.1
14.9,8521,50,33.6
24.3,58618,50,40.1
16.4,21789,50,35
26.2,18971,50,83.9
16.3,29336,50,31.8
25.4,16489,50,44.7
21.1,17142,50,49.7
18.6,30850,50,42.6
13,28296,50,32.2
19.5,9567,50,31.1
25.4,5570,50,32.7
13,51438,50,29.4
8.3,7086,50,32.4
30.4,32713,50,30.6
10.8,20713,50,34.6
11,10441,50,29.1
15.1,21379,50,39.2
14.6,4488,50,50.6
20,27930,50,36.2
7.1,7131,50,33.4
16.8,22578,50,32
22.2,30025,50,67.8
31.7,27420,50,29.2
32.3,120986,50,34.2
18.7,10977,50,86.2
15.3,27095,50,44.5
16.6,51351,50,58.9
8.4,11381,50,50
18.8,12830,50,36.7
16.5,12187,50,49.5
43.4,43280,50,28.8
13,25742,50,31.1
26.9,14650,50,36
46.6,36051,50,44.2
19.8,12695,50,29.1
43.7,40325,50,43.2
15.2,9703,50,50
27.8,28576,50,43.5
38.7,56060,50,28.6
15.2,12470,50,34.4
2.6,2857,50,34.5
18.3,62577,50,32.9
18,47247,50,37.7
12.7,22210,50,72.6
15.9,7828,50,30.7
45.4,24099,50,48.2
9.5,10045,50,42.5
12.6,15930,50,36.9
15.4,58413,50,30.8
14.1,49292,50,28.5
10.7,23065,50,50
15.9,47508,50,88.6
15.9,17422,50,43.9
19.2,9252,50,33
35.5,12520,50,34.8
67.8,21428,50,37.4
16.1,35308,50,33.6
17.1,30333,50,36.1
14.4,17625,50,61.3
17,26622,50,28.7
8.2,18162,50,43.4
14.9,8327,50,49.7
18.7,8061,50,69
26.5,10964,50,84.1
23.7,17791,50,56.5
6.7,18925,50,68.7
11.3,6300,50,39.2
7.7,17866,50,50
32.8,16606,50,40.5
14.4,21234,50,100
19.6,9336,50,47
17.4,7446,50,82
15.6,2473,50,28.4
46.3,38675,50,47.4
36.5,20314,50,38.8
12.2,10398,50,38.8
11.9,16667,50,31.3
65.1,51560,50,35.2
17.3,10798,50,32.8
30.2,18882,50,40.4
17.2,54290,50,35.4
26.8,20584,50,30.2
19.4,19665,50,29.6
17.5,47849,50,33.9
25.9,20951,50,70.4
18.8,19090,50,44.5
14.1,29885,50,31.2
10.6,11259,50,90.2
19.1,20161,50,29.2
61.2,36353,50,37.7
19,10243,50,29.1
14.6,12326,50,32.1
17,10159,50,50
17.1,9020,50,44.8
16.9,52316,50,32.6
18.3,24550,50,54.5
32.2,30704,50,30.4
14.9,50260,50,57.8
6.9,2243,95.2,97.8
11.6,19919,94.2,73.1
7.8,15596,93.9,63.3
11.8,18812,92.8,55
9,11074,92,95.4
8.4,7929,90.1,52.1
11.7,15060,89.1,53.7
14.7,18178,88.3,80
6.9,14221,87.9,36.6
3.6,15128,87.6,100
4.4,11751,87.4,43.3
16.4,36186,87.2,47.9
10.7,26607,87.1,40.5
10.3,38206,85.8,47.9
6.5,20376,85.2,47.9
10.2,21424,84,33.7
4.8,15172,82.7,100
9,41786,82.4,56.3
13.1,11885,82.3,57.5
14.1,25774,80.3,36.1
13.8,18334,79.5,81.2
15.5,31592,79.2,49.8
11.4,21394,78.2,40.1
11.5,7774,77.5,75.8
15.5,35691,77.3,100
6.8,42056,77.2,30.4
10.5,9666,76.1,65.4
11.8,44020,75.6,43.1
23.7,40128,75.4,64.6
17.6,50152,75.3,42.6
41.9,42503,74.8,100
18.7,42727,74.5,52.8
24.5,28881,74.4,68.2
13.7,31326,72.6,40.3
6.5,27233,72.2,56.7
27.3,22020,72.2,90.4
20.1,19967,72.1,73.7
13.9,35364,71,57.3
17.6,19835,71,53.7
17.4,49427,70.3,63.1
13.7,39763,70,100
17,9248,70,100
10.8,39655,69.7,48.5
19.2,14604,69.5,48
31.5,35565,69.4,99.2
7.9,2400,69,37.1
16.2,25028,68.2,99.9
15.3,34938,68.1,42
20.2,41868,68.1,72.4
14.4,24570,67.8,62.8
32.7,34718,67,76.7
15.4,30779,66.6,89.1
7.3,26518,66.4,39.4
8.6,24789,66.1,30.3
19.4,15920,65.9,100
18,46825,65.9,98.5
17.1,21222,65.7,49.8
12.9,36534,65.5,38
14,17906,64.3,40
15.7,15489,63.6,34.4
18.9,20580,63.5,54.6
39.3,33062,63.2,35.1
40.5,50882,62.5,79.7
25.6,24556,62.4,92.4
12.4,44501,62.3,56.2
16,22616,61.9,31.6
15.1,23505,61.9,31.6
38.9,28327,61.7,59.2
5.8,26485,61.5,39.3
16.6,18529,61.3,37.7
18.2,25266,61.2,39.5
4.1,27545,61,45
25.9,38309,61,50
31.2,26467,60.7,100
12.7,8338,60.4,30.6
3.6,12161,60.1,63.2
18.9,15626,59.9,95.4
4.5,12338,59.7,48.9
13.4,51462,59.7,53.1
18.8,17755,59.5,31.9
70.4,32474,58.8,50
8.5,15408,58.8,80.7
19.3,23823,58.8,88
15.5,23311,58.6,43.4
14,14260,58.5,36.8
25.6,25581,58,31.8
15.7,44750,58,32.2
17.3,12551,57.9,99.9
4.8,2429,57.9,82.3
9,6333,57.9,41.7
6.6,6178,57.8,40.8
6.5,26583,57.8,44
13.6,23895,57.7,68.3
16.1,26614,57.7,48.9
85.8,11761,57.7,85.3
13.8,11829,57.6,33.7
20.7,20851,57.5,64.5
27.6,37917,57.2,98.1
13.5,20925,57.2,37.5
16.5,462,57.1,52
20.3,38264,57,92.6
8.7,27862,57,37.4
18.1,39256,57,50
10.1,3055,56.9,100
8.4,31331,56.7,32.3
34.1,32166,56.6,88.3
16.4,25295,56.2,34.7
22.5,14708,56.1,82.9
12.1,20040,56.1,92.7
18.7,50095,56.1,50
53.9,36146,56,99.4
17.3,37032,56,35.9
46.1,39838,55.9,58.2
13,17713,55.9,39.2
16.1,29325,55.8,35.7
10,10410,55.8,60.7
15.9,8747,55.7,34.4
14.9,11512,55.6,33.6
15,15668,55.4,72.4
6.4,9259,55.3,34.1
14.7,27703,55.3,36.7
23.7,31715,54.8,31.1
21.6,36299,54.7,47.4
10.2,17916,54.5,37.5
24.6,25294,54.5,99.5
17.4,12001,54.4,30.6
13,56959,54.3,52.2
20.5,34651,54.2,30.2
15,30144,54.1,39.8
22.7,17404,53.9,36.1
12.3,30538,53.8,34.9
10.2,23845,53.3,37.9
10,9027,53,100
30.1,20771,52.9,79.3
14.7,14992,52.9,28.5
12,6631,52.9,91.2
20.3,24365,52.8,97.5
16.3,23280,52.5,60.1
14.6,12062,52.4,78.1
43.4,43280,52.3,68.5
13.6,18815,52.2,36.6
37.4,35487,52.1,99.7
4.5,9390,52.1,37
18,15521,52,28
7.7,30822,51.9,95.7
5.7,15286,51.9,35.5
12.7,36429,51.7,32.4
18.3,10901,51.2,37.2
