student_staff_ratio,num_students,total_score,income
14,17906,60.9,34.8
41.9,42503,60.8,99.9
15.4,30779,60.4,59.3
25.6,25581,60.3,32.7
3.6,12161,59.6,64.4
13.7,39763,59.5,99.8
9,6333,59,36.2
24.5,28881,58.7,37.6
32.7,34718,58.6,62.6
4.5,12338,57.4,34.4
17,9248,57.4,100
10,10410,57.3,35.4
16.1,29325,57.3,50
17.1,21222,57,48.6
17.3,37032,56.8,50
4.5,9390,56.8,36.4
15.7,15489,56.4,30.5
8.7,27862,56,26.2
12.7,8338,55.7,34.1
16.1,26614,55.4,45.6
18.2,25266,55.2,43.4
31.5,35565,55.1,47.2
13.8,11829,55,27.3
6.6,6178,54.9,50
15.1,23505,54.8,28.9
14.4,24570,54.7,42.5
6.4,9259,54.6,50
10,9027,54.5,100
8.4,31331,54.5,28.5
15.7,44750,54.4,28
12.7,36429,54.2,86
18.1,39256,54,50
17.4,12001,53.9,28.1
21.6,36299,53.7,53.7
15.5,23311,53.6,40.2
16,22616,53.4,61.4
12.1,20040,53.2,97.5
19.4,15920,53.1,100
20.3,38264,53.1,81.3
34.1,32166,53,97.8
15.9,8747,52.9,25.9
7.3,9586,52.8,66.3
22.7,17404,52.5,29.5
17.3,12551,52.2,48.6
22.5,14708,52.1,38.2
16.9,25674,51.9,50
10.9,21908,51.4,29.2
16,8176,51.3,100
40.5,50882,51.1,62.2
18,15521,51.1,29.7
7.8,23144,51,75
5,17200,50.8,78.9
10.7,17612,50.4,25
13.6,62468,50.2,50
13.6,23895,50,67
18.7,50095,50,50
29.9,83236,49.9,28.7
14,14260,49.9,36.6
13.5,20925,49.9,39.3
15,15668,49.8,32.7
14.9,11512,49.7,27.5
23.7,31715,49.7,26.8
14.7,27703,49.5,36.4
25.6,24556,49.2,59.9
12,20541,49,50
4.1,27545,49,37
10.2,23845,49,34.7
8.5,15408,48,50
20.5,34651,47.9,25.4
15,30144,47.7,36.7
11.6,27526,47.6,50
8,2218,47.6,25.1
22,20626,47.5,31
15,6671,47.4,49
14.7,14992,47.3,28
