world_rank,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,year
5.300000000000000000e+01,6.409999999999999432e+01,2.830000000000000071e+01,5.229999999999999716e+01,8.390000000000000568e+01,5.000000000000000000e+01,6.520000000000000284e+01,1.041000000000000000e+04,1.000000000000000000e+01,2.011000000000000000e+03
5.400000000000000000e+01,5.729999999999999716e+01,6.050000000000000000e+01,7.070000000000000284e+01,6.879999999999999716e+01,4.800000000000000000e+01,6.500000000000000000e+01,3.536400000000000000e+04,1.390000000000000036e+01,2.011000000000000000e+03
5.600000000000000000e+01,6.129999999999999716e+01,2.260000000000000142e+01,7.259999999999999432e+01,6.790000000000000568e+01,5.389999999999999858e+01,6.470000000000000284e+01,5.695900000000000000e+04,1.300000000000000000e+01,2.011000000000000000e+03
5.800000000000000000e+01,7.490000000000000568e+01,4.300000000000000000e+01,6.659999999999999432e+01,5.270000000000000284e+01,9.779999999999999716e+01,6.420000000000000284e+01,3.976300000000000000e+04,1.369999999999999929e+01,2.011000000000000000e+03
5.900000000000000000e+01,5.360000000000000142e+01,3.810000000000000142e+01,5.189999999999999858e+01,9.140000000000000568e+01,2.960000000000000142e+01,6.400000000000000000e+01,2.478900000000000000e+04,8.599999999999999645e+00,2.011000000000000000e+03
6.000000000000000000e+01,6.200000000000000000e+01,3.180000000000000071e+01,5.070000000000000284e+01,8.290000000000000568e+01,5.000000000000000000e+01,6.389999999999999858e+01,4.205600000000000000e+04,6.799999999999999822e+00,2.011000000000000000e+03
6.100000000000000000e+01,6.339999999999999858e+01,5.229999999999999716e+01,4.839999999999999858e+01,7.779999999999999716e+01,5.000000000000000000e+01,6.300000000000000000e+01,1.233800000000000000e+04,4.500000000000000000e+00,2.011000000000000000e+03
6.100000000000000000e+01,5.910000000000000142e+01,4.310000000000000142e+01,5.750000000000000000e+01,7.640000000000000568e+01,4.039999999999999858e+01,6.300000000000000000e+01,3.569100000000000000e+04,1.550000000000000000e+01,2.011000000000000000e+03
6.300000000000000000e+01,5.639999999999999858e+01,3.560000000000000142e+01,4.510000000000000142e+01,8.909999999999999432e+01,5.000000000000000000e+01,6.279999999999999716e+01,1.182900000000000000e+04,1.380000000000000071e+01,2.011000000000000000e+03
6.400000000000000000e+01,5.850000000000000000e+01,2.519999999999999929e+01,5.829999999999999716e+01,7.829999999999999716e+01,3.789999999999999858e+01,6.270000000000000284e+01,2.648500000000000000e+04,5.799999999999999822e+00,2.011000000000000000e+03
6.500000000000000000e+01,6.720000000000000284e+01,5.650000000000000000e+01,5.379999999999999716e+01,6.600000000000000000e+01,5.000000000000000000e+01,6.220000000000000284e+01,9.259000000000000000e+03,6.400000000000000355e+00,2.011000000000000000e+03
6.600000000000000000e+01,6.350000000000000000e+01,6.400000000000000000e+01,5.489999999999999858e+01,6.720000000000000284e+01,5.000000000000000000e+01,6.210000000000000142e+01,5.146200000000000000e+04,1.340000000000000036e+01,2.011000000000000000e+03
6.700000000000000000e+01,4.639999999999999858e+01,3.169999999999999929e+01,5.810000000000000142e+01,8.340000000000000568e+01,5.000000000000000000e+01,6.160000000000000142e+01,2.932500000000000000e+04,1.610000000000000142e+01,2.011000000000000000e+03
6.800000000000000000e+01,4.960000000000000142e+01,6.720000000000000284e+01,5.310000000000000142e+01,8.090000000000000568e+01,3.620000000000000284e+01,6.139999999999999858e+01,1.790600000000000000e+04,1.400000000000000000e+01,2.011000000000000000e+03
6.800000000000000000e+01,3.829999999999999716e+01,1.669999999999999929e+01,5.039999999999999858e+01,9.959999999999999432e+01,5.000000000000000000e+01,6.139999999999999858e+01,1.740400000000000000e+04,2.269999999999999929e+01,2.011000000000000000e+03
6.800000000000000000e+01,6.350000000000000000e+01,5.329999999999999716e+01,4.670000000000000284e+01,7.440000000000000568e+01,5.000000000000000000e+01,6.139999999999999858e+01,6.753000000000000000e+03,5.500000000000000000e+00,2.011000000000000000e+03
7.100000000000000000e+01,4.979999999999999716e+01,8.959999999999999432e+01,6.189999999999999858e+01,6.429999999999999716e+01,9.079999999999999716e+01,6.120000000000000284e+01,4.186800000000000000e+04,2.019999999999999929e+01,2.011000000000000000e+03
7.200000000000000000e+01,6.200000000000000000e+01,4.220000000000000284e+01,5.539999999999999858e+01,6.859999999999999432e+01,5.000000000000000000e+01,6.110000000000000142e+01,2.384500000000000000e+04,1.019999999999999929e+01,2.011000000000000000e+03
7.300000000000000000e+01,4.650000000000000000e+01,8.750000000000000000e+01,3.879999999999999716e+01,9.050000000000000000e+01,5.270000000000000284e+01,6.070000000000000284e+01,2.077100000000000000e+04,3.010000000000000142e+01,2.011000000000000000e+03
7.300000000000000000e+01,6.540000000000000568e+01,3.119999999999999929e+01,4.870000000000000284e+01,7.190000000000000568e+01,5.000000000000000000e+01,6.070000000000000284e+01,3.653400000000000000e+04,1.290000000000000036e+01,2.011000000000000000e+03
7.500000000000000000e+01,5.310000000000000142e+01,2.089999999999999858e+01,3.610000000000000142e+01,9.559999999999999432e+01,5.000000000000000000e+01,6.039999999999999858e+01,7.867000000000000000e+03,1.180000000000000071e+01,2.011000000000000000e+03
7.600000000000000000e+01,4.770000000000000284e+01,8.420000000000000284e+01,4.529999999999999716e+01,8.440000000000000568e+01,3.160000000000000142e+01,6.029999999999999716e+01,1.552100000000000000e+04,1.800000000000000000e+01,2.011000000000000000e+03
7.700000000000000000e+01,4.850000000000000000e+01,8.590000000000000568e+01,5.450000000000000000e+01,7.209999999999999432e+01,4.410000000000000142e+01,5.970000000000000284e+01,2.139400000000000000e+04,1.140000000000000036e+01,2.011000000000000000e+03
7.800000000000000000e+01,4.850000000000000000e+01,5.220000000000000284e+01,4.360000000000000142e+01,8.579999999999999716e+01,5.000000000000000000e+01,5.960000000000000142e+01,2.190800000000000000e+04,1.090000000000000036e+01,2.011000000000000000e+03
7.900000000000000000e+01,7.129999999999999716e+01,3.670000000000000284e+01,6.339999999999999858e+01,4.550000000000000000e+01,1.000000000000000000e+02,5.950000000000000000e+01,9.027000000000000000e+03,1.000000000000000000e+01,2.011000000000000000e+03
7.900000000000000000e+01,4.239999999999999858e+01,7.279999999999999716e+01,4.239999999999999858e+01,9.159999999999999432e+01,2.910000000000000142e+01,5.950000000000000000e+01,1.200100000000000000e+04,1.739999999999999858e+01,2.011000000000000000e+03
8.100000000000000000e+01,5.179999999999999716e+01,7.420000000000000284e+01,5.339999999999999858e+01,6.900000000000000000e+01,5.710000000000000142e+01,5.910000000000000142e+01,3.471800000000000000e+04,3.270000000000000284e+01,2.011000000000000000e+03
8.300000000000000000e+01,5.920000000000000284e+01,6.339999999999999858e+01,4.750000000000000000e+01,7.029999999999999716e+01,3.910000000000000142e+01,5.900000000000000000e+01,2.888100000000000000e+04,2.450000000000000000e+01,2.011000000000000000e+03
8.300000000000000000e+01,5.579999999999999716e+01,2.250000000000000000e+01,5.420000000000000284e+01,7.200000000000000000e+01,5.000000000000000000e+01,5.900000000000000000e+01,2.567400000000000000e+04,1.689999999999999858e+01,2.011000000000000000e+03
8.500000000000000000e+01,3.979999999999999716e+01,6.570000000000000284e+01,4.410000000000000142e+01,9.100000000000000000e+01,3.389999999999999858e+01,5.889999999999999858e+01,1.548900000000000000e+04,1.569999999999999929e+01,2.011000000000000000e+03
8.700000000000000000e+01,5.650000000000000000e+01,7.909999999999999432e+01,5.620000000000000284e+01,5.920000000000000284e+01,3.900000000000000000e+01,5.800000000000000000e+01,3.493800000000000000e+04,1.530000000000000071e+01,2.011000000000000000e+03
8.800000000000000000e+01,3.770000000000000284e+01,9.290000000000000568e+01,3.620000000000000284e+01,9.320000000000000284e+01,3.050000000000000000e+01,5.789999999999999858e+01,8.747000000000000000e+03,1.590000000000000036e+01,2.011000000000000000e+03
9.000000000000000000e+01,5.079999999999999716e+01,6.900000000000000000e+01,4.779999999999999716e+01,7.290000000000000568e+01,3.770000000000000284e+01,5.770000000000000284e+01,2.092500000000000000e+04,1.350000000000000000e+01,2.011000000000000000e+03
9.000000000000000000e+01,5.660000000000000142e+01,8.790000000000000568e+01,4.700000000000000000e+01,6.500000000000000000e+01,4.379999999999999716e+01,5.770000000000000284e+01,2.658300000000000000e+04,6.500000000000000000e+00,2.011000000000000000e+03
9.000000000000000000e+01,5.460000000000000142e+01,2.439999999999999858e+01,4.289999999999999858e+01,7.920000000000000284e+01,5.000000000000000000e+01,5.770000000000000284e+01,7.326000000000000000e+03,4.599999999999999645e+00,2.011000000000000000e+03
9.300000000000000000e+01,4.470000000000000284e+01,5.000000000000000000e+01,5.870000000000000284e+01,6.850000000000000000e+01,5.000000000000000000e+01,5.760000000000000142e+01,2.382300000000000000e+04,1.930000000000000071e+01,2.011000000000000000e+03
9.500000000000000000e+01,6.060000000000000142e+01,3.960000000000000142e+01,4.310000000000000142e+01,7.020000000000000284e+01,5.000000000000000000e+01,5.729999999999999716e+01,2.054100000000000000e+04,1.200000000000000000e+01,2.011000000000000000e+03
9.500000000000000000e+01,5.239999999999999858e+01,2.189999999999999858e+01,5.220000000000000284e+01,7.009999999999999432e+01,8.420000000000000284e+01,5.729999999999999716e+01,3.642900000000000000e+04,1.269999999999999929e+01,2.011000000000000000e+03
9.500000000000000000e+01,5.020000000000000284e+01,9.129999999999999716e+01,3.710000000000000142e+01,7.829999999999999716e+01,4.579999999999999716e+01,5.729999999999999716e+01,1.255100000000000000e+04,1.730000000000000071e+01,2.011000000000000000e+03
9.800000000000000000e+01,4.539999999999999858e+01,3.539999999999999858e+01,4.860000000000000142e+01,7.920000000000000284e+01,5.000000000000000000e+01,5.720000000000000284e+01,3.133100000000000000e+04,8.400000000000000355e+00,2.011000000000000000e+03
9.900000000000000000e+01,4.470000000000000284e+01,3.100000000000000000e+01,4.920000000000000284e+01,7.970000000000000284e+01,5.000000000000000000e+01,5.710000000000000142e+01,6.178000000000000000e+03,6.599999999999999645e+00,2.011000000000000000e+03
1.000000000000000000e+02,5.110000000000000142e+01,3.760000000000000142e+01,3.439999999999999858e+01,8.879999999999999716e+01,2.610000000000000142e+01,5.700000000000000000e+01,2.218000000000000000e+03,8.000000000000000000e+00,2.011000000000000000e+03
1.010000000000000000e+02,5.039999999999999858e+01,8.529999999999999716e+01,4.320000000000000284e+01,7.120000000000000284e+01,5.000000000000000000e+01,5.689999999999999858e+01,3.556500000000000000e+04,3.150000000000000000e+01,2.011000000000000000e+03
1.020000000000000000e+02,4.900000000000000000e+01,2.419999999999999929e+01,5.139999999999999858e+01,7.540000000000000568e+01,3.019999999999999929e+01,5.660000000000000142e+01,2.350500000000000000e+04,1.509999999999999964e+01,2.011000000000000000e+03
1.030000000000000000e+02,4.479999999999999716e+01,8.570000000000000284e+01,4.770000000000000284e+01,7.290000000000000568e+01,3.260000000000000142e+01,5.650000000000000000e+01,8.338000000000000000e+03,1.269999999999999929e+01,2.011000000000000000e+03
1.040000000000000000e+02,5.050000000000000000e+01,4.800000000000000000e+01,5.460000000000000142e+01,6.490000000000000568e+01,5.000000000000000000e+01,5.639999999999999858e+01,6.671000000000000000e+03,1.500000000000000000e+01,2.011000000000000000e+03
1.050000000000000000e+02,5.339999999999999858e+01,2.680000000000000071e+01,6.470000000000000284e+01,5.570000000000000284e+01,5.000000000000000000e+01,5.629999999999999716e+01,3.703200000000000000e+04,1.730000000000000071e+01,2.011000000000000000e+03
1.060000000000000000e+02,5.700000000000000000e+01,6.260000000000000142e+01,6.779999999999999716e+01,4.389999999999999858e+01,5.000000000000000000e+01,5.620000000000000284e+01,3.925600000000000000e+04,1.810000000000000142e+01,2.011000000000000000e+03
1.070000000000000000e+02,5.220000000000000284e+01,3.410000000000000142e+01,5.260000000000000142e+01,6.690000000000000568e+01,5.020000000000000284e+01,5.610000000000000142e+01,1.022100000000000000e+04,1.350000000000000000e+01,2.011000000000000000e+03
1.070000000000000000e+02,3.660000000000000142e+01,8.329999999999999716e+01,4.210000000000000142e+01,8.279999999999999716e+01,5.000000000000000000e+01,5.610000000000000142e+01,2.004000000000000000e+04,1.209999999999999964e+01,2.011000000000000000e+03
1.090000000000000000e+02,4.629999999999999716e+01,1.989999999999999858e+01,4.920000000000000284e+01,7.759999999999999432e+01,4.400000000000000000e+01,5.600000000000000000e+01,4.450100000000000000e+04,1.240000000000000036e+01,2.011000000000000000e+03
1.110000000000000000e+02,3.289999999999999858e+01,7.179999999999999716e+01,3.250000000000000000e+01,9.759999999999999432e+01,2.669999999999999929e+01,5.560000000000000142e+01,1.044100000000000000e+04,1.100000000000000000e+01,2.011000000000000000e+03
1.120000000000000000e+02,6.289999999999999858e+01,2.480000000000000071e+01,6.339999999999999858e+01,4.550000000000000000e+01,6.050000000000000000e+01,5.539999999999999858e+01,9.586000000000000000e+03,7.299999999999999822e+00,2.011000000000000000e+03
1.140000000000000000e+02,5.539999999999999858e+01,4.489999999999999858e+01,5.170000000000000284e+01,5.689999999999999858e+01,9.979999999999999716e+01,5.529999999999999716e+01,8.176000000000000000e+03,1.600000000000000000e+01,2.011000000000000000e+03
1.150000000000000000e+02,5.029999999999999716e+01,2.919999999999999929e+01,5.900000000000000000e+01,6.160000000000000142e+01,3.570000000000000284e+01,5.520000000000000284e+01,3.189100000000000000e+04,1.190000000000000036e+01,2.011000000000000000e+03
1.170000000000000000e+02,3.860000000000000142e+01,6.300000000000000000e+01,4.739999999999999858e+01,7.829999999999999716e+01,3.050000000000000000e+01,5.510000000000000142e+01,2.062600000000000000e+04,2.200000000000000000e+01,2.011000000000000000e+03
1.180000000000000000e+02,4.660000000000000142e+01,9.570000000000000284e+01,4.970000000000000284e+01,6.310000000000000142e+01,3.270000000000000284e+01,5.500000000000000000e+01,1.566800000000000000e+04,1.500000000000000000e+01,2.011000000000000000e+03
1.190000000000000000e+02,5.770000000000000284e+01,2.960000000000000142e+01,6.289999999999999858e+01,4.520000000000000284e+01,9.770000000000000284e+01,5.479999999999999716e+01,4.250300000000000000e+04,4.189999999999999858e+01,2.011000000000000000e+03
1.200000000000000000e+02,5.220000000000000284e+01,5.020000000000000284e+01,4.620000000000000284e+01,6.600000000000000000e+01,4.339999999999999858e+01,5.460000000000000142e+01,2.974300000000000000e+04,1.330000000000000071e+01,2.011000000000000000e+03
1.200000000000000000e+02,3.970000000000000284e+01,9.100000000000000000e+01,4.410000000000000142e+01,7.350000000000000000e+01,3.889999999999999858e+01,5.460000000000000142e+01,1.426000000000000000e+04,1.400000000000000000e+01,2.011000000000000000e+03
1.220000000000000000e+02,5.039999999999999858e+01,3.039999999999999858e+01,5.270000000000000284e+01,6.370000000000000284e+01,5.000000000000000000e+01,5.450000000000000000e+01,4.475000000000000000e+04,1.569999999999999929e+01,2.011000000000000000e+03
1.220000000000000000e+02,4.620000000000000284e+01,6.400000000000000000e+01,4.689999999999999858e+01,6.459999999999999432e+01,9.550000000000000000e+01,5.450000000000000000e+01,9.990000000000000000e+03,5.000000000000000000e+00,2.011000000000000000e+03
1.240000000000000000e+02,5.279999999999999716e+01,2.469999999999999929e+01,5.910000000000000142e+01,5.279999999999999716e+01,9.709999999999999432e+01,5.439999999999999858e+01,3.216600000000000000e+04,3.410000000000000142e+01,2.011000000000000000e+03
1.240000000000000000e+02,4.350000000000000000e+01,7.379999999999999716e+01,4.189999999999999858e+01,7.490000000000000568e+01,2.880000000000000071e+01,5.439999999999999858e+01,1.151200000000000000e+04,1.490000000000000036e+01,2.011000000000000000e+03
1.240000000000000000e+02,4.729999999999999716e+01,4.000000000000000000e+01,5.489999999999999858e+01,5.929999999999999716e+01,1.000000000000000000e+02,5.439999999999999858e+01,2.122200000000000000e+04,1.710000000000000142e+01,2.011000000000000000e+03
1.270000000000000000e+02,5.370000000000000284e+01,7.159999999999999432e+01,5.800000000000000000e+01,4.970000000000000284e+01,4.450000000000000000e+01,5.429999999999999716e+01,3.629900000000000000e+04,2.160000000000000142e+01,2.011000000000000000e+03
1.280000000000000000e+02,4.560000000000000142e+01,5.510000000000000142e+01,5.029999999999999716e+01,6.509999999999999432e+01,6.100000000000000000e+01,5.420000000000000284e+01,2.261600000000000000e+04,1.600000000000000000e+01,2.011000000000000000e+03
1.290000000000000000e+02,3.689999999999999858e+01,5.000000000000000000e+01,4.920000000000000284e+01,7.590000000000000568e+01,3.169999999999999929e+01,5.400000000000000000e+01,3.171500000000000000e+04,2.369999999999999929e+01,2.011000000000000000e+03
1.300000000000000000e+02,6.170000000000000284e+01,2.010000000000000142e+01,6.339999999999999858e+01,4.000000000000000000e+01,7.340000000000000568e+01,5.339999999999999858e+01,2.314400000000000000e+04,7.799999999999999822e+00,2.011000000000000000e+03
1.300000000000000000e+02,3.289999999999999858e+01,5.000000000000000000e+01,4.829999999999999716e+01,7.909999999999999432e+01,2.739999999999999858e+01,5.339999999999999858e+01,1.758100000000000000e+04,2.150000000000000000e+01,2.011000000000000000e+03
1.320000000000000000e+02,6.029999999999999716e+01,2.010000000000000142e+01,6.250000000000000000e+01,4.120000000000000284e+01,8.229999999999999716e+01,5.329999999999999716e+01,1.720000000000000000e+04,5.000000000000000000e+00,2.011000000000000000e+03
1.320000000000000000e+02,5.239999999999999858e+01,4.620000000000000284e+01,4.139999999999999858e+01,6.429999999999999716e+01,7.979999999999999716e+01,5.329999999999999716e+01,2.646700000000000000e+04,3.119999999999999929e+01,2.011000000000000000e+03
1.320000000000000000e+02,4.860000000000000142e+01,3.169999999999999929e+01,5.979999999999999716e+01,5.479999999999999716e+01,5.000000000000000000e+01,5.329999999999999716e+01,2.752600000000000000e+04,1.159999999999999964e+01,2.011000000000000000e+03
